,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.8306245693003632,,Intercept,323.69782976524994,324.0,0.302170234750065,324.0
1,1,grade:A,1.0663540992917901,3.2673084729120506e-31,grade,87.84685711933861,88.0,0.1531428806613917,88.0
2,2,grade:B,0.8946369189179898,4.439780680473264e-49,grade,73.70069814714411,74.0,0.2993018528558906,74.0
3,3,grade:C,0.7085522927463008,1.9661723325383627e-36,grade,58.37094081956729,58.0,-0.37094081956728786,58.0
4,4,grade:D,0.5254829117271937,5.336019462492567e-23,grade,43.289581102385135,43.0,-0.2895811023851351,43.0
5,5,grade:E,0.36003004099833635,1.9748460244914636e-14,grade,29.659479521160566,30.0,0.3405204788394336,30.0
6,6,grade:F,0.18345817023388578,0.00017764878407743932,grade,15.113388393794247,15.0,-0.11338839379424748,15.0
7,7,home_ownership:OWN,0.09363495176936751,3.3915491629685634e-06,home_ownership,7.713700575561821,8.0,0.28629942443817935,8.0
8,8,home_ownership:MORTGAGE,0.10584628788322785,5.817800828886707e-17,home_ownership,8.719677389026458,9.0,0.28032261097354194,9.0
9,9,addr_state:NM_VA,0.0190240725270229,0.5519266728884844,addr_state,1.567213913482615,2.0,0.4327860865173849,2.0
10,10,addr_state:NY,0.04874178106468335,0.04451996911380116,addr_state,4.015375642832948,4.0,-0.015375642832948344,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.04829738187643382,0.03720890167572882,addr_state,3.9787657849817584,4.0,0.02123421501824163,4.0
12,12,addr_state:CA,0.05309111419352269,0.012408965904084768,addr_state,4.373676179387652,4.0,-0.37367617938765196,4.0
13,13,addr_state:UT_KY_AZ_NJ,0.06771037600241982,0.006624000060695167,addr_state,5.57801928096087,6.0,0.42198071903913004,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.12684424857184357,1.8912328925614122e-08,addr_state,10.449501331781864,10.0,-0.4495013317818639,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.08344898744072005,0.005111226072027625,addr_state,6.874575041561764,7.0,0.1254249584382361,7.0
16,16,addr_state:GA_WA_OR,0.17502202712317158,5.449065568392575e-11,addr_state,14.418414126824779,14.0,-0.4184141268247785,14.0
17,17,addr_state:WI_MT,0.2378751067385334,6.081054588666367e-07,addr_state,19.596286569147757,20.0,0.40371343085224254,20.0
18,18,addr_state:TX,0.2113696339629671,4.359543496093065e-16,addr_state,17.412750648629334,17.0,-0.4127506486293342,17.0
19,19,addr_state:IL_CT,0.24817714809153038,1.9375986240209434e-17,addr_state,20.444974594425002,20.0,-0.44497459442500187,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31973882521511643,4.82867886861769e-25,addr_state,26.340266251925087,26.0,-0.34026625192508675,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5084762410851772,1.0515198734999097e-21,addr_state,41.88856190345573,42.0,0.11143809654426917,42.0
22,22,verification_status:Not Verified,0.07939315066641847,5.4173161820932586e-08,verification_status,6.540452901600884,7.0,0.4595470983991161,7.0
23,23,verification_status:Source Verified,-0.014523312565947029,0.27965353228523926,verification_status,-1.1964387483740844,-1.0,0.19643874837408437,-1.0
24,24,purpose:credit_card,0.3037026943351693,6.3201678078165734e-27,purpose,25.019200670526445,25.0,-0.019200670526444696,25.0
25,25,purpose:debt_consolidation,0.19872064237941553,2.0728692493050103e-14,purpose,16.370719528683395,16.0,-0.3707195286833951,16.0
26,26,purpose:oth__med__vacation,0.21413175860239575,5.717594697108914e-12,purpose,17.64029604720458,18.0,0.3597039527954209,18.0
27,27,purpose:major_purch__car__home_impr,0.26495816094428576,2.0743788321358565e-17,purpose,21.827403976346858,22.0,0.17259602365314208,22.0
28,28,initial_list_status:w,0.052523511797435585,5.7473887370957174e-05,initial_list_status,4.326916771210974,4.0,-0.32691677121097396,4.0
29,29,term:36,0.07904586566353024,1.5742810175797185e-08,term,6.511843365567147,7.0,0.48815663443285295,7.0
30,30,emp_length:1,0.0998432766019546,0.00011915185440878993,emp_length,8.225145905852134,8.0,-0.22514590585213412,8.0
31,31,emp_length:2-4,0.12592731186200554,2.6158332887900394e-11,emp_length,10.373963564177167,10.0,-0.37396356417716703,10.0
32,32,emp_length:5-6,0.09148946918134533,1.930662753149756e-05,emp_length,7.536954499856587,8.0,0.46304550014341306,8.0
33,33,emp_length:7-9,0.06151995704533222,0.0031027100433422264,emp_length,5.068049046877008,5.0,-0.0680490468770083,5.0
34,34,emp_length:10,0.12685190482924005,5.876658760175457e-12,emp_length,10.450132058620186,10.0,-0.450132058620186,10.0
35,35,mths_since_issue_d:<38,1.1059898204865943,3.099735337965006e-189,mths_since_issue_d,91.11207037161039,91.0,-0.11207037161038613,91.0
36,36,mths_since_issue_d:38-39,0.9021147908389272,1.0930304435396508e-158,mths_since_issue_d,74.31672948854523,74.0,-0.31672948854523497,74.0
37,37,mths_since_issue_d:40-41,0.8035736246921292,4.7167513827500305e-133,mths_since_issue_d,66.1988521824797,66.0,-0.1988521824796976,66.0
38,38,mths_since_issue_d:42-48,0.6054905526116686,2.627155577498543e-97,mths_since_issue_d,49.88065605760094,50.0,0.11934394239906254,50.0
39,39,mths_since_issue_d:49-52,0.44492331501574883,6.422337900760544e-47,mths_since_issue_d,36.6530357122545,37.0,0.34696428774550014,37.0
40,40,mths_since_issue_d:53-64,0.19920958622393004,7.034552055275263e-12,mths_since_issue_d,16.410999000649575,16.0,-0.41099900064957495,16.0
41,41,mths_since_issue_d:65-84,-0.04491136795324567,0.12255303938886224,mths_since_issue_d,-3.6998240324138734,-4.0,-0.30017596758612664,-4.0
42,42,int_rate:<9.548,0.9888739568510458,2.9521099951107016e-37,int_rate,81.46399892326802,81.0,-0.46399892326802217,81.0
43,43,int_rate:9.548-12.025,0.5941679960341169,2.1309018497776596e-40,int_rate,48.94789740777307,49.0,0.052102592226930255,49.0
44,44,int_rate:12.025-15.74,0.331964161939583,1.5656386547236627e-19,int_rate,27.347396443653405,27.0,-0.3473964436534054,27.0
45,45,int_rate:15.74-20.281,0.1275368799574216,1.0902172166380238e-05,int_rate,10.506560699214926,11.0,0.4934393007850737,11.0
46,46,mths_since_earliest_cr_line:141-164,0.04327837698648818,0.08468360202818608,mths_since_earliest_cr_line,3.5652973079147707,4.0,0.43470269208522927,4.0
47,47,mths_since_earliest_cr_line:165-247,0.022977827961802495,0.2600655668450047,mths_since_earliest_cr_line,1.892926534641538,2.0,0.10707346535846196,2.0
48,48,mths_since_earliest_cr_line:248-270,0.06623253719186228,0.013337296235711133,mths_since_earliest_cr_line,5.456274079322237,5.0,-0.4562740793222373,5.0
49,49,mths_since_earliest_cr_line:271-352,0.10668618700488068,6.844157063395515e-06,mths_since_earliest_cr_line,8.788868756306329,9.0,0.21113124369367142,9.0
50,50,mths_since_earliest_cr_line:>352,0.10363907412499619,0.0001044053523918421,mths_since_earliest_cr_line,8.537845864413772,9.0,0.4621541355862284,9.0
51,51,inq_last_6mths:0,0.324981966124003,0.00038029185786092704,inq_last_6mths,26.772199181695235,27.0,0.22780081830476462,27.0
52,52,inq_last_6mths:1-2,0.18107254673440806,0.04746474538595832,inq_last_6mths,14.91685937323875,15.0,0.08314062676124934,15.0
53,53,inq_last_6mths:3-6,-0.029183516921846658,0.7507648425278897,inq_last_6mths,-2.4041547202527846,-2.0,0.40415472025278465,-3.0
54,54,acc_now_delinq:>=1,0.16393021486379739,0.11624675032021183,acc_now_delinq,13.504664325149237,14.0,0.4953356748507627,14.0
55,55,annual_inc:20K-30K,-0.10244410892163561,0.01569762980997548,annual_inc,-8.439403951402028,-8.0,0.4394039514020278,-8.0
56,56,annual_inc:30K-40K,-0.03843251585021349,0.34588413667501716,annual_inc,-3.1660925117394667,-3.0,0.1660925117394667,-3.0
57,57,annual_inc:40K-50K,0.057794382151702524,0.1558348918571246,annual_inc,4.761134068460886,5.0,0.23886593153911395,5.0
58,58,annual_inc:50K-60K,0.12556628937071343,0.0023283856248812965,annual_inc,10.344222326036416,10.0,-0.3442223260364159,10.0
59,59,annual_inc:60K-70K,0.20359634277478653,1.3772479732017605e-06,annual_inc,16.772382499992194,17.0,0.22761750000780623,17.0
60,60,annual_inc:70K-80K,0.27652171076194276,1.2663437992988965e-10,annual_inc,22.780015786343853,23.0,0.21998421365614718,23.0
61,61,annual_inc:80K-90K,0.35038882544257516,4.837920402862227e-15,annual_inc,28.86523070086139,29.0,0.13476929913861113,29.0
62,62,annual_inc:90K-100K,0.3691957876853524,1.5511975789872532e-15,annual_inc,30.414558945660463,30.0,-0.41455894566046325,30.0
63,63,annual_inc:100K-120K,0.44807005536889377,1.6981218053707385e-22,annual_inc,36.91226597205091,37.0,0.08773402794908947,37.0
64,64,annual_inc:120K-140K,0.5402936611648053,3.642947710104397e-25,annual_inc,44.50969906370801,45.0,0.49030093629198745,45.0
65,65,annual_inc:>140K,0.49060629135709866,1.3007295489920994e-24,annual_inc,40.416425282482585,40.0,-0.41642528248258515,40.0
66,66,dti:<=1.4,0.09136773483233103,0.2830930937240267,dti,7.52692595495628,8.0,0.4730740450437203,8.0
67,67,dti:1.4-3.5,0.2273757190671641,0.0016697803113256537,dti,18.731341041935092,19.0,0.2686589580649077,19.0
68,68,dti:3.5-7.7,0.2377109975671564,0.00015876874450739366,dti,19.582767162283282,20.0,0.4172328377167176,20.0
69,69,dti:7.7-10.5,0.17428785588429507,0.005354567188530423,dti,14.35793268265389,14.0,-0.35793268265389067,14.0
70,70,dti:10.5-16.1,0.09395703866455513,0.1213761745850299,dti,7.740234277153393,8.0,0.25976572284660726,8.0
71,71,dti:16.1-20.3,-0.00742426036443624,0.9027102372566634,dti,-0.6116147908884589,-1.0,-0.38838520911154106,-1.0
72,72,dti:20.3-21.7,-0.018534919006761064,0.7697493499419998,dti,-1.5269171683091294,-2.0,-0.4730828316908706,-2.0
73,73,dti:21.7-22.4,-0.05909902852810323,0.3792348320540151,dti,-4.8686115788817235,-5.0,-0.13138842111827653,-5.0
74,74,dti:22.4-35,-0.09660055083168055,0.10792922098021479,dti,-7.95800831280715,-8.0,-0.041991687192849625,-8.0
75,75,mths_since_last_delinq:Missing,0.1404306304066033,0.006897110342625279,mths_since_last_delinq,11.568755193702199,12.0,0.4312448062978014,12.0
76,76,mths_since_last_delinq:4-30,0.16949034541671087,0.0012483533226852652,mths_since_last_delinq,13.962711042061613,14.0,0.0372889579383866,14.0
77,77,mths_since_last_delinq:31-56,0.21704985288383713,4.5008170609348426e-05,mths_since_last_delinq,17.880690313586438,18.0,0.11930968641356188,16.0
78,78,mths_since_last_delinq:>=57,0.16789209393291213,0.002055354870893464,mths_since_last_delinq,13.83104617592448,14.0,0.16895382407552084,14.0
79,79,mths_since_last_record:Missing,0.19901884399989653,0.016518910774755896,mths_since_last_record,16.395285547761432,16.0,-0.3952855477614321,16.0
80,80,mths_since_last_record:3-20,0.2671252439816059,0.02947688943877583,mths_since_last_record,22.005929509349112,22.0,-0.005929509349112294,22.0
81,81,mths_since_last_record:21-31,0.17222790513159664,0.1265323422300064,mths_since_last_record,14.188232768183308,14.0,-0.18823276818330825,14.0
82,82,mths_since_last_record:32-80,0.38095840388967167,1.2171120924834998e-05,mths_since_last_record,31.383569957796784,31.0,-0.3835699577967837,31.0
83,83,mths_since_last_record:81-86,0.017822059432898423,0.8630854941514575,mths_since_last_record,1.4681913912217115,1.0,-0.4681913912217115,1.0
84,84,mths_since_last_record:>86,0.11344420209022123,0.18632831426630136,mths_since_last_record,9.345597882219126,9.0,-0.3455978822191259,9.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
